Ticker, Routing, Documentation, Label,Smallest unit Decimal (number)
PALSTKAAVE_ETH,PALSTKAAVE.ETH,Paladin stkAAVE,Paladin stkAAVE,18
KLTR_ETH,KLTR.ETH,Kollector,Kollector,18
LEC_ETH,LEC.ETH,Love Earth Coin,Love Earth Coin,18
BURNX20_ETH,BURNX20.ETH,BurnX 2 0,BurnX 2 0,9
AMPL_ETH,AMPL.ETH,Ampleforth,Ampleforth,9
MYID_ETH,MYID.ETH,My Identity Coin,My Identity Coin,18
GFN_ETH,GFN.ETH,Game Fanz,Game Fanz,8
ELET_ETH,ELET.ETH,Elementeum,Elementeum,18
NCC_ETH,NCC.ETH,NeuroChain,NeuroChain,18
ORBS_ETH,ORBS.ETH,Orbs,Orbs,18
CANA_ETH,CANA.ETH,Cannabis Seed Token,Cannabis Seed Token,0
BTRFLY_ETH,BTRFLY.ETH,Redacted Cartel,Redacted Cartel,9
DICE_ETH,DICE.ETH,Etheroll,Etheroll,16
INVI_ETH,INVI.ETH,INVI Token,INVI Token,13
SBTC_ETH,SBTC.ETH,sBTC,sBTC,18
QNT_ETH,QNT.ETH,Quant,Quant,18
PARMA_ETH,PARMA.ETH,PARMA,PARMA,18
BUMP_ETH,BUMP.ETH,Bumper,Bumper,18
INSURE_ETH,INSURE.ETH,InsureDAO,InsureDAO,18
SUNI_ETH,SUNI.ETH,SUNI,SUNI,18
GARFIELD_ETH,GARFIELD.ETH,Garfield Token,Garfield Token,9
TIE_ETH,TIE.ETH,Ties DB,Ties DB,18
UMC_ETH,UMC.ETH,Umbrella Coin,Umbrella Coin,6
PMGT_ETH,PMGT.ETH,Perth Mint Gold Tok,Perth Mint Gold Tok,5
GUM_ETH,GUM.ETH,Gourmet Galaxy,Gourmet Galaxy,18
DODI_ETH,DODI.ETH,DoubleDice,DoubleDice,18
HMQ_ETH,HMQ.ETH,Humaniq,Humaniq,8
OKBHEDGE_ETH,OKBHEDGE.ETH,1X Short OKB Token,1X Short OKB Token,18
SI14_ETH,SI14.ETH,Si14Bet,Si14Bet,8
FLOKIGOLD_ETH,FLOKIGOLD.ETH,Floki Gold,Floki Gold,9
AGPC_ETH,AGPC.ETH,AGPC,AGPC,18
QM_ETH,QM.ETH,Quick Mining,Quick Mining,8
TRYBBEAR_ETH,TRYBBEAR.ETH,3X Short BiLira Tok,3X Short BiLira Tok,18
CHAI_ETH,CHAI.ETH,Chai,Chai,18
SYMM_ETH,SYMM.ETH,Symmetric,Symmetric,18
LONDON_ETH,LONDON.ETH,LONDON Vault  NFTX ,LONDON Vault  NFTX ,18
XOLO_ETH,XOLO.ETH,Xolo Metaverse,Xolo Metaverse,9
GOL_ETH,GOL.ETH,GogolCoin,GogolCoin,4
BURP_ETH,BURP.ETH,Burp,Burp,18
TKX_ETH,TKX.ETH,Tokenize Xchange,Tokenize Xchange,8
ACD_ETH,ACD.ETH,Alliance Cargo Dire,Alliance Cargo Dire,18
HMETA_ETH,HMETA.ETH,Hampton Metaverse,Hampton Metaverse,4
HPTT_ETH,HPTT.ETH,Hyper Trust,Hyper Trust,18
GFUN_ETH,GFUN.ETH,GoldFund,GoldFund,18
BXIOT_ETH,BXIOT.ETH,bXIOT,bXIOT,6
MCN_ETH,MCN.ETH,MCN Ventures,MCN Ventures,18
BUU_ETH,BUU.ETH,Buu Inu,Buu Inu,9
ETHBULL_ETH,ETHBULL.ETH,3X Long Ethereum To,3X Long Ethereum To,18
LOC_ETH,LOC.ETH,LockTrip,LockTrip,18
PRIX_ETH,PRIX.ETH,Privatix,Privatix,8
BKC_ETH,BKC.ETH,FACTS,FACTS,18
BTRN_ETH,BTRN.ETH,Biotron,Biotron,18
XED_ETH,XED.ETH,Exeedme,Exeedme,18
CO2_ETH,CO2.ETH,Collective,Collective,18
NAAL_ETH,NAAL.ETH,Ethernaal,Ethernaal,18
D2D_ETH,D2D.ETH,Prime,Prime,18
NODE_ETH,NODE.ETH,Whole Network,Whole Network,5
RPL_ETH,RPL.ETH,Rocket Pool,Rocket Pool,18
DRINK_ETH,DRINK.ETH,Beverage Token,Beverage Token,18
AURORA_ETH,AURORA.ETH,Aurora,Aurora,18
MODA_ETH,MODA.ETH,MODA DAO,MODA DAO,18
SKRP_ETH,SKRP.ETH,Skraps,Skraps,18
JUNGLE_ETH,JUNGLE.ETH,Jungle Token,Jungle Token,18
OPNN_ETH,OPNN.ETH,Opennity,Opennity,18
SLVT_ETH,SLVT.ETH,SilverToken,SilverToken,8
NEC_ETH,NEC.ETH,Nectar,Nectar,18
PBTC_ETH,PBTC.ETH,pTokens BTC,pTokens BTC,18
HRDG_ETH,HRDG.ETH,HRDGCOIN,HRDGCOIN,12
HY_ETH,HY.ETH,Hybrix,Hybrix,18
CUBE_ETH,CUBE.ETH,Somnium Space CUBEs,Somnium Space CUBEs,8
REDPANDA_ETH,REDPANDA.ETH,RedPanda Earth,RedPanda Earth,9
PP_ETH,PP.ETH,Pension Plan,Pension Plan,8
WXT_ETH,WXT.ETH,Wirex,Wirex,18
FIRU_ETH,FIRU.ETH,Firulais,Firulais,9
SEEN_ETH,SEEN.ETH,SEEN,SEEN,18
